,Locations,March Europe,March Korea,March Japan,"YTD
Europe","YTD
Korea","YTD
Japan",Month,Year,latitude,longitude
137,Total Gaming Revenue,"18,08,650.65","22,08,995.90","24,14,774.90","64,81,563.56","71,35,769.00","90,51,562.85",January,2024,,
138,Kaiserslautern,"2,55,436.60",0.00,0.00,"13,61,314.00",0.00,0.00,February,2020,,
139,Grafenwoehr,"1,96,007.10",0.00,0.00,"9,37,391.40",0.00,0.00,February,2020,,
140,Wiesbaden,"2,55,238.29",0.00,0.00,"12,41,326.15",0.00,0.00,February,2020,,
141,Vicenza,"85,828.20",0.00,0.00,"3,46,962.00",0.00,0.00,February,2020,45.545479,11.535421
142,Livorno,"3,001.90",0.00,0.00,"6,352.35",0.00,0.00,February,2020,43.548473,10.310567
143,Stuttgart,"1,87,316.46",0.00,0.00,"7,86,164.70",0.00,0.00,February,2020,48.775418,9.181759
144,Baumholder,"44,816.21",0.00,0.00,"2,55,361.30",0.00,0.00,February,2020,49.613889,7.333333
145,Ansbach,"71,829.74",0.00,0.00,"2,59,125.30",0.00,0.00,February,2020,49.300425,10.571936
146,Schinnen,"6,443.00",0.00,0.00,"40,963.40",0.00,0.00,February,2020,50.94028,5.87832
147,AFRC Edelweiss,"7,419.52",0.00,0.00,"1,56,052.92",0.00,0.00,February,2020,,
148,Hohenfels,"37,770.50",0.00,0.00,"2,27,431.40",0.00,0.00,February,2020,49.203278,11.849022
149,Naples Navy,"1,05,161.05",0.00,0.00,"4,07,308.20",0.00,0.00,February,2020,,
150,Sigonella Navy,"63,073.80",0.00,0.00,"2,97,177.90",0.00,0.00,February,2020,,
151,Rota Navy,"68,100.75",0.00,0.00,"3,75,029.90",0.00,0.00,February,2020,,
152,Souda Bay Navy,"8,713.30",0.00,0.00,"39,991.70",0.00,0.00,February,2020,,
153,AFRC Dragon Hill Lodge,0.00,"3,54,187.91",0.00,0.00,"23,56,161.30",0.00,February,2020,,
154,Seoul,0.00,"51,211.70",0.00,0.00,"3,60,432.10",0.00,February,2020,37.566535,126.97797
155,Casey & Hovey,0.00,"1,96,661.75",0.00,0.00,"10,19,216.00",0.00,February,2020,,
156,Uijongbu,0.00,0.00,0.00,0.00,0.00,0.00,February,2020,,
157,Camp Humphreys,0.00,"7,35,295.59",0.00,0.00,"43,79,930.42",0.00,February,2020,,
158,Daegu,0.00,"2,58,317.45",0.00,0.00,"14,44,530.50",0.00,February,2020,,
159,Chinhae Navy,0.00,"55,679.00",0.00,0.00,"1,51,265.45",0.00,February,2020,,
160,Camp Mujuk Marines,0.00,0.00,0.00,0.00,0.00,0.00,February,2020,,
161,Camp Zama,0.00,0.00,"1,47,137.10",0.00,0.00,"7,04,649.60",February,2020,,
162,Fuji Marines,0.00,0.00,825.00,0.00,0.00,"5,006.00",February,2020,,
