,Locations,March Europe,March Korea,March Japan,"YTD
Europe","YTD
Korea","YTD
Japan",Month,Year,latitude,longitude
533,AFRC Dragon Hill Lodge,0.00,"1,64,242.70",0.00,0.00,"20,71,828.45",0.00,April,2022,,
534,Seoul,0.00,"11,521.50",0.00,0.00,"62,063.80",0.00,April,2022,37.566535,126.97797
535,Casey &   Hovey,0.00,"2,30,931.90",0.00,0.00,"16,43,981.55",0.00,April,2022,,
536,Uijongbu,0.00,0.00,0.00,0.00,0.00,0.00,April,2022,,
537,Camp Humphreys,0.00,"1,089,859. 75",0.00,0.00,"64,36,814.35",0.00,April,2022,,
538,Daegu,0.00,"2,54,605.25",0.00,0.00,"18,02,936.15",0.00,April,2022,,
539,Chinhae Navy,0.00,"37,868.05",0.00,0.00,"2,80,866.20",0.00,April,2022,,
540,Camp Mujuk Marines,0.00,0.00,0.00,0.00,0.00,0.00,April,2022,,
541,Camp Zama,0.00,0.00,"1,20,917.10",0.00,0.00,"6,67,376.65",April,2022,,
542,Fuji Marines,0.00,0.00,"2,120.00",0.00,0.00,"14,459.00",April,2022,,
543,Sanna Navy,0.00,0.00,"1,03,235.65",0.00,0.00,"5,35,577.70",April,2022,,
544,Atsugi Navy,0.00,0.00,"87,892.15",0.00,0.00,"6,38,999.20",April,2022,,
545,Okinawa,0.00,0.00,"5,830.00",0.00,0.00,"42,408.65",April,2022,26.212401,127.68093
546,Okinawa Marines,0.00,0.00,"8,17,487.50",0.00,0.00,"63,08,435.00",April,2022,,
547,Okinawa Navy,0.00,0.00,"14,224.40",0.00,0.00,"2,10,645.25",April,2022,,
548,Iwakuni Marines,0.00,0.00,"1,73,099.35",0.00,0.00,"11,74,790.65",April,2022,,
549,Sasebo Navy,0.00,0.00,"2,23,812.75",0.00,0.00,"14,33,499.75",April,2022,,
550,Yokosuka Navy,0.00,0.00,"4,82,868.75",0.00,0.00,"31,76,727.60",April,2022,,
551,Singapore Navy,0.00,0.00,0.00,0.00,0.00,0.00,April,2022,,
552,Total Gaming Revenue,"12,53,084.30","17,89,029.15","20,31,487.65","92,85,723.66","1,22,98,490.50","1,42,02,919.45",April,2022,,
553,Kaiserslautern,"3,16,788.65",0.00,0.00,"20,85,984.00",0.00,0.00,April,2023,,
554,Grafenwoehr,"1,24,905.10",0.00,0.00,"9,52,005.55",0.00,0.00,April,2023,,
555,Wiesbaden,"2,03,193.70",0.00,0.00,"15,80,141.10",0.00,0.00,April,2023,,
556,Vicenza,"84,121.20",0.00,0.00,"5,69,353.65",0.00,0.00,April,2023,45.545479,11.535421
557,Livorno,0.00,0.00,0.00,"73,555.45",0.00,0.00,April,2023,43.548473,10.310567
558,Stuttgart,"2,48,879.00",0.00,0.00,"14,59,939.55",0.00,0.00,April,2023,48.775418,9.181759
559,Baumholder,"51,980.25",0.00,0.00,"3,88,244.70",0.00,0.00,April,2023,49.613889,7.333333
560,Ansbach,"61,184.60",0.00,0.00,"4,83,670.90",0.00,0.00,April,2023,49.300425,10.571936
561,Brunssum,"10,876.95",0.00,0.00,"70,674.90",0.00,0.00,April,2023,50.948896,5.972166
562,AFRC Edelweiss Lodge,"40,045.42",0.00,0.00,"1,47,153.22",0.00,0.00,April,2023,,
563,Hohenfels,"26,466.95",0.00,0.00,"2,26,302.90",0.00,0.00,April,2023,49.203278,11.849022
564,Naples Navy,"1,21,853.65",0.00,0.00,"7,41,618.85",0.00,0.00,April,2023,,
565,Sigonella Navy,"60,876.70",0.00,0.00,"4,51,280.75",0.00,0.00,April,2023,,
566,Rota Navy,"83,125.35",0.00,0.00,"5,63,646.55",0.00,0.00,April,2023,,
567,Souda Bay Navy,"13,882.00",0.00,0.00,"70,010.95",0.00,0.00,April,2023,,
568,AFRC Dragon Hill Lodge,0.00,"4,59,685.70",0.00,0.00,"28,62,314.35",0.00,April,2023,,
569,Seoul,0.00,"24,404.70",0.00,0.00,"1,22,855.60",0.00,April,2023,37.566535,126.97797
570,Casey &   Hovey,0.00,"1,31,300.15",0.00,0.00,"11,62,324.55",0.00,April,2023,,
571,Uijongbu,0.00,0.00,0.00,0.00,0.00,0.00,April,2023,,
572,Camp Humphreys,0.00,"9,75,030.85",0.00,0.00,"70,86,314.45",0.00,April,2023,,
573,Daegu,0.00,"2,06,373.05",0.00,0.00,"14,35,919.60",0.00,April,2023,,
574,Chinhae Navy,0.00,"26,021.95",0.00,0.00,"1,92,030.60",0.00,April,2023,,
575,Camp Mujuk Marines,0.00,0.00,0.00,0.00,0.00,0.00,April,2023,,
576,Camp Zama,0.00,0.00,"1,23,613.75",0.00,0.00,"7,16,289.25",April,2023,,
577,Fuji Marines,0.00,0.00,"3,844.00",0.00,0.00,"13,641.00",April,2023,,
578,Sanna Navy,0.00,0.00,"54,323.40",0.00,0.00,"5,37,370.40",April,2023,,
579,Atsugi Navy,0.00,0.00,"1,11,709.05",0.00,0.00,"6,74,281.75",April,2023,,
580,Okinawa,0.00,0.00,"7,167.60",0.00,0.00,"51,659.00",April,2023,26.212401,127.68093
581,Okinawa Marines,0.00,0.00,"9,15,492.80",0.00,0.00,"66,50,258.50",April,2023,,
582,Okinawa Navy,0.00,0.00,"35,278.35",0.00,0.00,"2,07,523.35",April,2023,,
583,Iwakuni Marines,0.00,0.00,"1,29,822.35",0.00,0.00,"10,39,984.35",April,2023,,
584,Sasebo Navy,0.00,0.00,"2,24,044.60",0.00,0.00,"11,95,183.40",April,2023,,
585,Yokosuka Navy,0.00,0.00,"4,90,287.00",0.00,0.00,"31,67,806.90",April,2023,,
586,Singapore Navy,0.00,0.00,"8,593.00",0.00,0.00,"34,287.00",April,2023,,
587,Total Gaming Revenue,"14,48,179.52","18,22,816.40","21,04,175.90","98,63,583.02","1,28,61,759.15","1,42,88,284.90",April,2023,,
588,Kaiserslautern,,0.00,0.00,"6,85,342.00",0.00,0.00,May,2021,,
589,Europe,84.15,0.00,0.00,"10,21,982.10",0.00,0.00,May,2021,,
590,Kaiserslautern,"1,29,868.70",0.00,0.00,"12,36,985.35",0.00,0.00,May,2021,,
591,Grafenwoehr,"2,89,103.20",0.00,0.00,"5,29,562.90",0.00,0.00,May,2021,,
592,Wiesbaden,"92,870.75",0.00,0.00,"38,693.00",0.00,0.00,May,2021,,
593,Vicenza,"11,541.90",0.00,0.00,"7,13,082.85",0.00,0.00,May,2021,45.545479,11.535421
594,Livorno,"2,39,591.20",0.00,0.00,"12,703.25",0.00,0.00,May,2021,43.548473,10.310567
595,Stuttgart,0.00,0.00,0.00,"1,88,813.15",0.00,0.00,May,2021,48.775418,9.181759
596,Baumholder,"48,008.45",0.00,0.00,"69,774.60",0.00,0.00,May,2021,49.613889,7.333333
597,Ansbach,"17,822.20",0.00,0.00,"22,429.57",0.00,0.00,May,2021,49.300425,10.571936
598,Schinnen,"7,179.00",0.00,0.00,"3,39,129.30",0.00,0.00,May,2021,50.94028,5.87832
599,AFRC Edelweiss Lodge,"31,056.10",0.00,0.00,"93,100.50",0.00,0.00,May,2021,,
600,Hohenfels,"7,785.35",0.00,0.00,"3,17,238.30",0.00,0.00,May,2021,49.203278,11.849022
601,Naples Navy,"49,525.70",0.00,0.00,"5,14,644.25",0.00,0.00,May,2021,,
602,Sigonella Navy,"1,18,761.20",0.00,0.00,0.00,0.00,0.00,May,2021,,
603,Rota Navy,0.00,"4,93,359.35",0.00,0.00,"34,69,130.15",0.00,May,2021,,
604,Souda Bay Navy,0.00,"5,881.70",0.00,0.00,"1,91,166.15",0.00,May,2021,,
605,AFRC Dragon Hill Lodge,0.00,"1,52,976.20",0.00,0.00,"15,24,913.65",0.00,May,2021,,
606,Seoul,0.00,0.00,0.00,0.00,0.00,0.00,May,2021,37.566535,126.97797
607,Casey &   Hovey,0.00,"9,29,904.20",0.00,0.00,"77,25,986.15",0.00,May,2021,,
608,Uijongbu,0.00,"2,07,840.10",0.00,0.00,"21,69,539.30",0.00,May,2021,,
609,Camp Humphreys,0.00,"63,946.25",0.00,0.00,"2,55,866.75",0.00,May,2021,,
610,Daegu,0.00,0.00,0.00,0.00,0.00,0.00,May,2021,,
611,Chinhae Navy,0.00,0.00,0.00,0.00,0.00,0.00,May,2021,,
612,Camp Mujuk Marines,0.00,0.00,0.00,0.00,0.00,0.00,May,2021,,
613,Camp Zama,0.00,0.00,"1,31,026.95",0.00,0.00,"11,07,432.95",May,2021,,
614,Fuji Marines,0.00,0.00,545.00,0.00,0.00,"11,170.45",May,2021,,
615,Sanna Navy,0.00,0.00,"55,353.50",0.00,0.00,"87,381.90",May,2021,,
616,Atsugi Navy,0.00,0.00,"80,515.10",0.00,0.00,"10,89,629.60",May,2021,,
617,Okinawa,0.00,0.00,0.00,0.00,0.00,"24,054.95",May,2021,26.212401,127.68093
618,Okinawa Marines,0.00,0.00,"7,91,865.30",0.00,0.00,"72,11,453.70",May,2021,,
619,Okinawa Navy,0.00,0.00,"23,342.70",0.00,0.00,"2,22,401.20",May,2021,,
620,Iwakuni Marines,0.00,0.00,"1,67,580.50",0.00,0.00,"12,59,292.20",May,2021,,
621,Sasebo Navy,0.00,0.00,"2,28,860.85",0.00,0.00,"16,28,679.20",May,2021,,
622,Yokosuka Navy,0.00,0.00,"2,64,763.70",0.00,0.00,"25,31,215.00",May,2021,,
623,Singapore Navy,0.00,0.00,0.00,0.00,0.00,30.50·,May,2021,,
624,Total Gaming Revenue,"10,43,197.90","18,53,907.80","17,43,853.60","57,83,481.12","1,53,36,602.15","1,51,72,680.65",May,2021,,
625,Kaiserslautern,"2,84,389.00",0.00,0.00,"21,95,617.15",0.00,0.00,May,2022,,
626,Grafenwoehr,"1,13,894.00",0.00,0.00,"8,26,697.05",0.00,0.00,May,2022,,
627,Wiesbaden,"3,41,723.70",0.00,0.00,"20,53,138.35",0.00,0.00,May,2022,,
628,Vicenza,"76,985.20",0.00,0.00,"6,42,011.10",0.00,0.00,May,2022,45.545479,11.535421
629,Livorno,"1,735.35",0.00,0.00,"1,00,212.20",0.00,0.00,May,2022,43.548473,10.310567
630,Stuttgart,"3,02,592.25",0.00,0.00,"17,77,209.70",0.00,0.00,May,2022,48.775418,9.181759
631,Baumholder,"42,578.40",0.00,0.00,"3,76,804.50",0.00,0.00,May,2022,49.613889,7.333333
632,Ansbach,"90,177.35",0.00,0.00,"4,72,632.50",0.00,0.00,May,2022,49.300425,10.571936
633,Schinnen,"17,935.70",0.00,0.00,"57,951.60",0.00,0.00,May,2022,50.94028,5.87832
634,AFRC Edelweiss Lodge,"12,559.30",0.00,0.00,"1,27,800.05",0.00,0.00,May,2022,,
635,Hohenfels,"57,116.95",0.00,0.00,"4,45,259.65",0.00,0.00,May,2022,49.203278,11.849022
636,Naples Navy,"1,35,759.00",0.00,0.00,"7,20,417.21",0.00,0.00,May,2022,,
637,Sigonella Navy,"46,355.00",0.00,0.00,"4,55,476.00",0.00,0.00,May,2022,,
638,Rota Navy,"90,556.05",0.00,0.00,"6,48,853.85",0.00,0.00,May,2022,,
639,Souda Bay Navy,0.00,0.00,0.00,0.00,0.00,0.00,May,2022,,
640,AFRC Dragon Hill Lodge,0.00,"5,24,029.55",0.00,0.00,"25,95,858.00",0.00,May,2022,,
641,Seoul,0.00,"20,073.95",0.00,0.00,"82,137.75",0.00,May,2022,37.566535,126.97797
642,Casey & Hovey,0.00,"2,19,099.20",0.00,0.00,"18,63,080.75",0.00,May,2022,,
643,Uijongbu,0.00,0.00,0.00,0.00,0.00,0.00,May,2022,,
644,Camp Humphreys,0.00,"10,82,687.75",0.00,0.00,"75,19,502.10",0.00,May,2022,,
645,Daegu,0.00,"3,13,773.75",0.00,0.00,"21,16,709.90",0.00,May,2022,,
646,Chinhae Navy,0.00,"21,681.55",0.00,0.00,"3,02,547.75",0.00,May,2022,,
647,Camp Mujuk Marines,0.00,0.00,0.00,0.00,0.00,0.00,May,2022,,
648,Camp Zama,0.00,0.00,"1,29,294.50",0.00,0.00,"7,96,671.15",May,2022,,
649,Fuji Marines,0.00,0.00,"2,526.00",0.00,0.00,"16,985.00",May,2022,,
650,Sanno Navy,0.00,0.00,"1,13,764.75",0.00,0.00,"6,49,342.45",May,2022,,
651,Atsugi Navy,0.00,0.00,"70,944.40",0.00,0.00,"7,09,943.60",May,2022,,
652,Okinawa,0.00,0.00,"5,908.65",0.00,0.00,"48,317.30",May,2022,26.212401,127.68093
653,Okinawa Marines,0.00,0.00,"11,51,767.95",0.00,0.00,"74,60,202.95",May,2022,,
654,Okinawa Navy,0.00,0.00,"35,802.60",0.00,0.00,"2,46,447.85",May,2022,,
655,Iwakuni Marines,0.00,0.00,"2,59,770.75",0.00,0.00,"14,34,561.40",May,2022,,
656,Sasebo Navy,0.00,0.00,"2,47,293.75",0.00,0.00,"16,80,793.50",May,2022,,
657,Yokosuka Navy,0.00,0.00,"5,03,506.75",0.00,0.00,"36,80,234.35",May,2022,,
658,Singapore Navy,0.00,0.00,"43,555.00",0.00,0.00,"43,555.00",May,2022,,
659,Total Gaming Revenue,"16,14,357.25","21,81,345.75","25,64,135.10","1,09,00,080.91","1,44,79,836.25","1,67,67,054.55",May,2022,,
660,Kaiserslautern,"4,36,640.80",0.00,0.00,"25,22,624.80",0.00,0.00,May,2023,,
661,Grafenwoehr,"2,48,207.20",0.00,0.00,"12,00,212.75",0.00,0.00,May,2023,,
662,Wiesbaden,"2,46,650.20",0.00,0.00,"18,26,791.30",0.00,0.00,May,2023,,
663,Vicenza,"1,04,259.10",0.00,0.00,"6,73,612.75",0.00,0.00,May,2023,45.545479,11.535421
664,Livorno,"13,585.75",0.00,0.00,"87,141.20",0.00,0.00,May,2023,43.548473,10.310567
665,Stuttgart,"2,69,522.20",0.00,0.00,"17,29,461.75",0.00,0.00,May,2023,48.775418,9.181759
666,Baumholder,"45,489.20",0.00,0.00,"4,33,733.90",0.00,0.00,May,2023,49.613889,7.333333
667,Ansbach,"1,08,482.65",0.00,0.00,"5,92,153.55",0.00,0.00,May,2023,49.300425,10.571936
668,Brunssum,"12,040.35",0.00,0.00,"82,715.25",0.00,0.00,May,2023,50.948896,5.972166
669,AFRC Edelweiss Lodge,"18,632.90",0.00,0.00,"1,65,786.12",0.00,0.00,May,2023,,
670,Hohenfels,"44,943.45",0.00,0.00,"2,71,246.35",0.00,0.00,May,2023,49.203278,11.849022
671,Naples Navy,"1,73,876.65",0.00,0.00,"9,15,495.50",0.00,0.00,May,2023,,
672,Sigonella Navy,"58,372.35",0.00,0.00,"5,09,653.10",0.00,0.00,May,2023,,
673,Rota Navy,"1,07,435.75",0.00,0.00,"6,71,082.30",0.00,0.00,May,2023,,
674,Souda Bay Navy,"12,355.70",0.00,0.00,"82,366.65",0.00,0.00,May,2023,,
675,AFRC Dragon Hill Lodge,0.00,"6,99,038.75",0.00,0.00,"35,61,353.10",0.00,May,2023,,
676,Seoul,0.00,"16,597.00",0.00,0.00,"1,39,452.60",0.00,May,2023,37.566535,126.97797
677,Casey & Hovey,0.00,"2,10,828.60",0.00,0.00,"13,73,153.15",0.00,May,2023,,
678,Uijongbu,0.00,0.00,0.00,0.00,0.00,0.00,May,2023,,
679,Camp Humphreys,0.00,"9,99,404.10",0.00,0.00,"80,85,718.55",0.00,May,2023,,
680,Daegu,0.00,"1,71,794.75",0.00,0.00,"16,07,714.35",0.00,May,2023,,
681,Chinhae Navy,0.00,"15,802.20",0.00,0.00,"2,07,832.80",0.00,May,2023,,
682,Camp Mujuk Marines,0.00,0.00,0.00,0.00,0.00,0.00,May,2023,,
683,Camp Zama,0.00,0.00,"72,731.65",0.00,0.00,"7,89,020.90",May,2023,,
684,Fuji Marines,0.00,0.00,"4,269.00",0.00,0.00,"17,910.00",May,2023,,
685,Sanno Navy,0.00,0.00,"1,44,654.30",0.00,0.00,"6,82,024.70",May,2023,,
686,Atsugi Navy,0.00,0.00,"74,574.30",0.00,0.00,"7,48,856.05",May,2023,,
687,Okinawa,0.00,0.00,"11,262.00",0.00,0.00,"62,921.00",May,2023,26.212401,127.68093
688,Okinawa Marines,0.00,0.00,"11,19,960.00",0.00,0.00,"77,70,218.50",May,2023,,
689,Okinawa Navy,0.00,0.00,"69,065.45",0.00,0.00,"2,76,588.80",May,2023,,
690,Iwakuni Marines,0.00,0.00,"2,84,679.20",0.00,0.00,"13,24,663.55",May,2023,,
691,Sasebo Navy,0.00,0.00,"2,58,391.75",0.00,0.00,"14,53,575.15",May,2023,,
692,Yokosuka Navy,0.00,0.00,"4,36,264.15",0.00,0.00,"36,04,071.05",May,2023,,
693,Singapore Navy,0.00,0.00,"2,953.00",0.00,0.00,"37,240.00",May,2023,,
694,Total Gaming Revenue,"19,00,494.25","21,13,465.40","24,78,804.80","1,17,64,077.27","1,49,75,224.55","1,67,67,089.70",May,2023,,
695,Kaiserslautern,"75,003.35",0.00,0.00,"16,82,117.75",0.00,0.00,June,2020,,
696,Grafenwoehr,"8,348. 70-",0.00,0.00,"10,57,887.80",0.00,0.00,June,2020,,
697,Wiesb3den,"41,007.45",0.00,0.00,"15,17,647.75",0.00,0.00,June,2020,,
698,Vicenza,0.00,0.00,0.00,"4,06,448.85",0.00,0.00,June,2020,45.545479,11.535421
699,Livorno,0.00,0.00,0.00,"6,352.35",0.00,0.00,June,2020,43.548473,10.310567
700,Stuttgart,"60,644.25",0.00,0.00,"9,52,603.20",0.00,0.00,June,2020,48.775418,9.181759
701,Baumholder,"3,546.35",0.00,0.00,"3,39,281.95",0.00,0.00,June,2020,49.613889,7.333333
702,Ansb3ch,0.00,0.00,0.00,"3,11,903.85",0.00,0.00,June,2020,,
703,Schinnen,0.00,0.00,0.00,"41,837.70",0.00,0.00,June,2020,50.94028,5.87832
704,AFRC  Edelweiss  Lodge,0.00,0.00,0.00,"1,56,607.87",0.00,0.00,June,2020,,
705,Hohenfels,0.00,0.00,0.00,"2,79,393.20",0.00,0.00,June,2020,49.203278,11.849022
706,Naples  Navy,0.00,0.00,0.00,"4,83,735.90",0.00,0.00,June,2020,,
707,Sigonella  Navy,0.00,0.00,0.00,"3,38,536.70",0.00,0.00,June,2020,,
708,Rota  Navy,"1,212.80",0.00,0.00,"4,27,924.40",0.00,0.00,June,2020,,
709,Souda  Bay  Navy,0.00,0.00,0.00,"58,890.00",0.00,0.00,June,2020,,
710,AFRC  Dragon  Hill  Lodge,0.00,"5,15,567.90",0.00,0.00,"40,53,789.75",0.00,June,2020,,
711,Seoul,0.00,"40,194.25",0.00,0.00,"5,77,247.00",0.00,June,2020,37.566535,126.97797
712,Casey  &  Hovey,0.00,"1,87,834.65",0.00,0.00,"18,20,232.05",0.00,June,2020,,
713,Uijongbu,0.00,0.00,0.00,0.00,0.00,0.00,June,2020,,
714,Camp  Hunphreys,0.00,"8,93,928.15",0.00,0.00,"7,490, 117 . 25",0.00,June,2020,,
715,Daegu,0.00,"3,02,719.70",0.00,0.00,"17,94,326.05",0.00,June,2020,,
716,Chinhae  Navy,0.00,"8,286.20",0.00,0.00,"2,43,986.96",0.00,June,2020,,
717,Camp  Mujuk  Marines,0.00,0.00,0.00,0.00,0.00,0.00,June,2020,,
718,Camp  Zama,0.00,0.00,"50,679.05",0.00,0.00,"9,19,956.25",June,2020,,
719,Fuji  Marines,0.00,0.00,0.00,0.00,0.00,"5,405.25",June,2020,,
720,Sanno  Navy,0.00,0.00,0.00,0.00,0.00,"5,67,302.65",June,2020,,
721,Atsugi  Navy,0.00,0.00,"17,804.35",0.00,0.00,"7,33,119.60",June,2020,,
722,Okinawa,0.00,0.00,"5,084.00",0.00,0.00,"45,996.00",June,2020,26.212401,127.68093
723,Okinawa  Marines,0.00,0.00,"7,89,844.40",0.00,0.00,"7,584, 859.55",June,2020,,
724,Okinawa  Navy,0.00,0.00,"15,981.40",0.00,0.00,"2,02,941.90",June,2020,,
725,Iwakuni  Marines,0.00,0.00,"1,41,910.40",0.00,0.00,"14,32,586.55",June,2020,,
726,Sasebo  Navy,0.00,0.00,0.00,0.00,0.00,"12,78,218.00",June,2020,,
727,Yokosuka  Navy,0.00,0.00,"38,967.05",0.00,0.00,"27,95,400.15",June,2020,,
728,Singapore  Navy,0.00,0.00,0.00,0.00,0.00,"33,112.95",June,2020,,
729,Total   Gaming  Revenue,"1,73,065.50","19,48,530.85","10,60,270.65","80,61,169.27","1,59,79,699.06","1,55,98,898.85",June,2020,,
730,Kaiserslautern,"-5,560.80",0.00,0.00,"6,79,781.20",0.00,0.00,June,2021,,
731,Grafenwoehr,"1,76,795.70",0.00,0.00,"11,98,777.80",0.00,0.00,June,2021,,
732,Wiesbaden,"3,38,881.40",0.00,0.00,"15,75,866.75",0.00,0.00,June,2021,,
733,Vicenza,"77,344.60",0.00,0.00,"6,06,907.50",0.00,0.00,June,2021,45.545479,11.535421
734,Livorno,"5,326.30",0.00,0.00,"44,019.30",0.00,0.00,June,2021,43.548473,10.310567
735,Stuttgart,"2,56,867.20",0.00,0.00,"9,69,950.05",0.00,0.00,June,2021,48.775418,9.181759
736,Baumholder,"27,353.15",0.00,0.00,"40,056.40",0.00,0.00,June,2021,49.613889,7.333333
737,Ansbach,"48,539.35",0.00,0.00,"2,37,352.50",0.00,0.00,June,2021,49.300425,10.571936
738,Schinnen,"13,177.85",0.00,0.00,"82,952.45",0.00,0.00,June,2021,50.94028,5.87832
739,AFRC Edelweiss Lodge,"36,441.00",0.00,0.00,"58,870.57",0.00,0.00,June,2021,,
740,Hohenfels,"72,775.90",0.00,0.00,"4,11,905.20",0.00,0.00,June,2021,49.203278,11.849022
741,Naples Navy,"42,801.95",0.00,0.00,"1,35,902.45",0.00,0.00,June,2021,,
742,Sigonella Navy,"65,767.30",0.00,0.00,"3,83,005.60",0.00,0.00,June,2021,,
743,Rota Navy,"63,621.85",0.00,0.00,"5,78,266.10",0.00,0.00,June,2021,,
744,Souda Bay Navy,0.00,0.00,0.00,0.00,0.00,0.00,June,2021,,
745,AFRC Dragon Hill Lodge,0.00,"4,42,938.80",0.00,0.00,"39,12,068.95",0.00,June,2021,,
746,Seoul,0.00,"37,807.30",0.00,0.00,"2,28,973.45",0.00,June,2021,37.566535,126.97797
747,Casey &   Hovey,0.00,"2,31,944.00",0.00,0.00,"17,56,857.65",0.00,June,2021,,
748,Uijongbu,0.00,0.00,0.00,0.00,0.00,0.00,June,2021,,
749,Camp Humphreys,0.00,"1,098,563. 85",0.00,0.00,"88,24,550.00",0.00,June,2021,,
750,Daegu,0.00,"270,465. 55",0.00,0.00,"24,40,004.85",0.00,June,2021,,
751,Chinhae Navy,0.00,"41,594.20",0.00,0.00,"2,97,460.95",0.00,June,2021,,
752,Camp Mujuk Marines,0.00,0.00,0.00,0.00,0.00,0.00,June,2021,,
753,Camp Zama,0.00,0.00,"1,64,452.20",0.00,0.00,"12,71,885.15",June,2021,,
754,Fuji Marines,0.00,0.00,"4,138.05",0.00,0.00,"15,308.50",June,2021,,
755,Sanna Navy,0.00,0.00,"90,613.95",0.00,0.00,"1,77,995.85",June,2021,,
756,Atsugi Navy,0.00,0.00,"79,596.80",0.00,0.00,"11,69,226.40",June,2021,,
757,Okinawa,0.00,0.00,0.00,0.00,0.00,"24,054.95",June,2021,26.212401,127.68093
758,Okinawa Marines,0.00,0.00,"8,64,879.55",0.00,0.00,"80,76,333.25",June,2021,,
759,Okinawa Navy,0.00,0.00,"33,690.30",0.00,0.00,"2,56,091.50",June,2021,,
760,Iwakuni Marines,0.00,0.00,"2,78,840.25",0.00,0.00,"15,38,132.45",June,2021,,
761,Sasebo Navy,0.00,0.00,"3,15,279.45",0.00,0.00,"19,43,958.65",June,2021,,
762,Yokosuka Navy,0.00,0.00,"3,24,807.90",0.00,0.00,"28,56,022.90",June,2021,,
763,Singapore Navy,0.00,0.00,0.00,0.00,0.00,-30.50,June,2021,,
764,Total Gaming Revenue,"12,20,132.75","21,23,313.70","21,56,298.45","70,03,613.87","1,74,59,915.85","1,73,28,979.10",June,2021,,
765,Kaiserslautern,"3,21,487.50",0.00,0.00,"25,17,104.65",0.00,0.00,June,2022,,
766,Grafenwoehr,"1,47,129.90",0.00,0.00,"9,73,826.95",0.00,0.00,June,2022,,
767,Wiesbaden,"3,16,969.95",0.00,0.00,"23,70,108.30",0.00,0.00,June,2022,,
768,Vicenza,"69,138.70",0.00,0.00,"7,11,149.80",0.00,0.00,June,2022,45.545479,11.535421
769,Livorno,"3,299.95",0.00,0.00,"1,03,512.15",0.00,0.00,June,2022,43.548473,10.310567
770,Stuttgart,"2,83,130.10",0.00,0.00,"20,60,339.80",0.00,0.00,June,2022,48.775418,9.181759
771,Baumholder,"49,418.45",0.00,0.00,"4,26,222.95",0.00,0.00,June,2022,49.613889,7.333333
772,Ansbach,"60,233.50",0.00,0.00,"5,32,866.00",0.00,0.00,June,2022,49.300425,10.571936
773,Brunssum,"15,382.15",0.00,0.00,"73,333.75",0.00,0.00,June,2022,50.948896,5.972166
774,AFRC Edelweiss Lodge,"28,012.60",0.00,0.00,"1,55,812.65",0.00,0.00,June,2022,,
775,Hohenfels,"45,692.25",0.00,0.00,"4,90,951.90",0.00,0.00,June,2022,49.203278,11.849022
776,Naples Navy,"56,147.00",0.00,0.00,"7,76,564.21",0.00,0.00,June,2022,,
777,Sigonella Navy,"47,284.35",0.00,0.00,"5,02,760.35",0.00,0.00,June,2022,,
778,Rota Navy,"1,05,716.45",0.00,0.00,"7,54,570.30",0.00,0.00,June,2022,,
779,Souda Bay Navy,"2,869.05",0.00,0.00,"2,869.05",0.00,0.00,June,2022,,
780,AFRC Dragon Hill Lodge,0.00,"3,71,992.70",0.00,0.00,"29,67,850.70",0.00,June,2022,,
781,Seoul,0.00,"33,517.95",0.00,0.00,"1,15,655.70",0.00,June,2022,37.566535,126.97797
782,Casey & Hovey,0.00,"2,77,555.60",0.00,0.00,"21,40,636.35",0.00,June,2022,,
783,Uijongbu,0.00,0.00,0.00,0.00,0.00,0.00,June,2022,,
784,Camp Humphreys,0.00,"8,57,330.20",0.00,0.00,"83,76,832.30",0.00,June,2022,,
785,Daegu,0.00,"3,18,293.40",0.00,0.00,"24,35,003.30",0.00,June,2022,,
786,Chinhae Navy,0.00,"12,207.50",0.00,0.00,"3,14,755.25",0.00,June,2022,,
787,Camp Mujuk Marines,0.00,0.00,0.00,0.00,0.00,0.00,June,2022,,
788,Camp Zama,0.00,0.00,"1,29,094.95",0.00,0.00,"9,25,766.10",June,2022,,
789,Fuji Marines,0.00,0.00,0.00,0.00,0.00,"16,985.00",June,2022,,
790,Sanno Navy,0.00,0.00,"67,007.70",0.00,0.00,"7,16,350.15",June,2022,,
791,Atsugi Navy,0.00,0.00,"1,05,574.20",0.00,0.00,"8,15,517.80",June,2022,,
792,Okinawa,0.00,0.00,"4,941.00",0.00,0.00,"53,258.30",June,2022,26.212401,127.68093
793,Okinawa Marines,0.00,0.00,"8,45,588.35",0.00,0.00,"83,05,791.30",June,2022,,
794,Okinawa Navy,0.00,0.00,"43,039.10",0.00,0.00,"2,89,486.95",June,2022,,
795,Iwakuni Marines,0.00,0.00,"1,88,020.95",0.00,0.00,"16,22,582.35",June,2022,,
796,Sasebo Navy,0.00,0.00,"2,04,367.30",0.00,0.00,"18,85,160.80",June,2022,,
797,Yokosuka Navy,0.00,0.00,"3,87,146.80",0.00,0.00,"40,67,381.15",June,2022,,
798,Singapore Navy,0.00,0.00,"6,533.00",0.00,0.00,"50,088.00",June,2022,,
799,Total Gaming Revenue,"15,51,911.90","18,70,897.35","19,81,313.35","1,24,51,992.81","1,63,50,733.60","1,87,48,367.90",June,2022,,
800,Kaiserslautern,"3,88,963.15",0.00,0.00,"29,11,587.95",0.00,0.00,June,2023,,
801,Grafenwoehr,"2,39,400.25",0.00,0.00,"14,39,613.00",0.00,0.00,June,2023,,
802,Wiesbaden,"2,26,007.40",0.00,0.00,"20,52,798.70",0.00,0.00,June,2023,,
