Country,FO#,LOC,SVC,NOV,AIN,IGT,WMS,BAL,KON,ITE,Tot/EGMs,FRS,DIE,COU,ACM,ITC,Total,Month,Year,Region,latitude,longitude
ARMSTRONG'S,2,194,Army,10,5,9,-,6,2,-,32,1,,,,2,37,10,2023,Europe,,
LCCC,2,195,Army,8,3,3,-,6,-,-,20,1,,,,2,25,10,2023,Europe,,
KAZABRA,2,196,Army,5,-,3,-,-,2,-,10,1,,,,2,14,10,2023,Europe,,
STRIKERS,2,218,Army,9,4,7,-,6,1,-,27,1,,,,2,32,10,2023,Europe,,
GOLD MINE,2,1038,Army,3,4,7,3,3,2,-,22,1,,,,2,27,10,2023,Europe,,
ROB JAVA CAFE,2,2887,Army,4,-,6,-,4,1,-,15,1,,,,2,19,10,2023,Europe,,
SEMBACH C/C,2,3072,Army,7,-,2,-,3,2,-,14,1,,,,2,19,10,2023,Europe,49.511398,7.864983
EDO_CARD_LAB,2,3170,Army,-,-,-,-,-,-,-,0,-,,,,-,0,10,2023,Europe,,
KAISERSLAUTERN,0,0,0,46,16,37,3,28,10,-,158,7,,,,14,191,10,2023,Europe,,
LIVORNO C/C,4,330,Army,3,3,6,-,4,-,-,16,1,,,,2,21,10,2023,Europe,43.548473,10.310567
ARENA B/C,4,2895,Army,2,5,6,-,8,4,-,25,1,,,,2,30,10,2023,Europe,,
DEL DIN C/C,4,3132,Army,-,-,5,-,7,-,-,12,1,,,,1,15,10,2023,Europe,,
VICENZA,0,0,0,5,8,17,-,19,4,-,65,3,,,,5,78,10,2023,Europe,45.545479,11.535421
EDELWEISS,10,2489,Army,2,3,5,-,5,-,-,15,-,,,,-,16,10,2023,Europe,,
GARMISCH,0,0,0,2,3,5,-,5,-,-,17,-,,,,-,18,10,2023,Europe,47.491695,11.095498
ACTION LANES,31,437,Army,6,-,2,-,5,-,-,13,-,,,,-,14,10,2023,Europe,,
STORCK BRK B/C,31,438,Army,6,-,3,1,4,2,-,16,1,,,,-,18,10,2023,Europe,,
ANSBACH,0,0,0,12,-,5,1,9,2,-,34,1,,,,-,37,10,2023,Europe,49.300425,10.571936
-,0,0,0,,0,,0,,0,,20,1,,,,2,25,10,2023,Europe,,
THE ANCHOR,39,2618,Navy,16,2,-,-,2,-,-,,,,,,,,10,2023,Europe,,
SOUDA BAY,0,0,0,16,2,-,-,2,-,-,20,1,,,,2,25,10,2023,Europe,,
-,0,0,0,,0,,0,,0,,,,,,,,,10,2023,Europe,,
SIG B/C,40,2595,Navy,4,2,5,2,4,-,-,17,1,,,,1,20,10,2023,Europe,,
JOX SPORTS BAR,40,2597,Navy,2,2,2,2,3,-,-,11,1,,,,1,14,10,2023,Europe,,
SIGONELLA,0,0,0,6,4,7,4,7,-,-,30,2,,,,2,36,10,2023,Europe,,
-,0,0,0,,0,,0,,0,,,,,,,,,10,2023,Europe,,
CAPO OLDE TOWN,42,2588,Navy,9,-,4,1,4,2,-,20,1,,,,2,24,10,2023,Europe,,
NAPLES B/C,42,2591,Navy,4,1,4,2,7,5,-,23,1,,,,2,27,10,2023,Europe,40.851775,14.268124
NAPLES,0,0,0,13,1,8,3,11,7,-,43,2,,,,4,51,10,2023,Europe,40.851775,14.268124
-,0,0,0,,0,,0,,0,,,,,,,,,10,2023,Europe,,
LA PLAZA,43,2600,Navy,11,4,2,-,5,4,-,26,1,,,,2,30,10,2023,Europe,,
PINZ,43,2601,Navy,2,-,5,-,4,1,-,12,1,,,,2,16,10,2023,Europe,,
ROTA FLEET CTR,43,2605,Navy,4,-,-,2,-,-,-,6,1,,,,1,9,10,2023,Europe,36.62629,-6.362981
NGIS ROTA,43,2890,Navy,6,-,3,-,-,1,-,10,1,,,,1,13,10,2023,Europe,36.62629,-6.362981
ROTA,0,0,0,23,4,10,2,9,6,-,60,4,,,,6,74,10,2023,Europe,36.62629,-6.362981
-,0,0,0,,0,,0,,0,,,,,,,,,10,2023,Europe,,
PATCH C/C,45,256,Army,13,3,6,-,11,3,-,36,1,,,,2,41,10,2023,Europe,,
KELLY C/C,45,280,Army,5,-,3,-,2,1,-,11,1,,,,1,14,10,2023,Europe,,
GALAXY B/C,45,298,Army,3,2,2,-,7,1,-,15,1,,,,1,18,10,2023,Europe,,
STUTTGART,0,0,0,21,5,11,-,20,5,-,80,3,,,,4,91,10,2023,Europe,48.775418,9.181759
-,0,0,0,,0,,0,,0,,,,,,,,,10,2023,Europe,,
GRAF E/C,46,413,Army,11,4,5,3,3,-,-,26,1,,,,1,30,10,2023,Europe,,
HOHENFELS B/C,46,415,Army,6,4,6,-,3,-,-,19,1,,,,1,24,10,2023,Europe,49.203278,11.849022
VILSECK B/C,46,417,Army,4,-,3,2,4,-,-,13,1,,,,1,17,10,2023,Europe,,
LANGENBRUCK,46,1858,Army,6,4,4,-,9,-,-,23,1,,,,1,27,10,2023,Europe,49.991466,8.663401
ALGIER R/C,46,3145,Army,-,-,-,-,-,-,-,0,-,,,,-,0,10,2023,Europe,,
VILSECK,0,0,0,27,12,18,5,19,-,-,97,4,,,,4,114,10,2023,Europe,,
-,0,0,0,,0,,0,,0,,,,,,,,,10,2023,Europe,,
THE VAULT,47,1669,Army,6,4,4,-,4,-,-,18,1,,,,-,20,10,2023,Europe,,
LIBERTY GAMES,47,1881,Army,7,-,7,-,8,-,-,22,-,,,,-,23,10,2023,Europe,,
ACE'S GAME RM,47,3108,Army,6,-,2,-,2,-,-,10,-,,,,-,11,10,2023,Europe,,
WIESBADEN,0,0,0,26,8,13,-,18,2,-,69,1,,,,-,74,10,2023,Europe,,
-,0,0,0,,0,,0,,0,,.,,,,,,,10,2023,Europe,,
-,0,0,0,,0,,0,,0,,,,,,,,,10,2023,Japan,,
YOKOSUKA B/C,18,3146,Navy,-,4,3,-,3,1,-,11,1,,,,2,15,10,2023,Japan,35.281341,139.6722
CLUB ALLIANCE,18,3147,Navy,2,5,-,-,10,2,-,19,1,,,,2,23,10,2023,Japan,,
CPO CLUB,18,3148,Navy,4,-,6,-,-,1,-,11,1,,,,2,15,10,2023,Japan,,
TAKEMIYA CLUB,18,3149,Navy,2,-,2,1,-,1,-,6,1,,,,2,10,10,2023,Japan,,
OFFICERS CLUB,18,3150,Navy,-,-,6,-,-,3,-,9,1,,,,2,13,10,2023,Japan,,
SEASIDE CLUB,18,3151,Navy,-,8,2,-,7,-,-,17,1,,,,2,21,10,2023,Japan,,
YOKOSUKA,0,0,0,8,17,19,1,20,8,-,91,6,,,,12,115,10,2023,Japan,35.281341,139.6722
-,0,0,0,,0,,0,,0,,,,,,,,,10,2023,Japan,,
HARBOR VIEW,19,3096,Navy,3,6,6,-,3,-,-,18,1,,,,2,22,10,2023,Japan,,
HARIO,19,3097,Navy,2,5,5,-,-,2,-,14,1,,,,2,18,10,2023,Japan,,
GALAXIES,19,3098,Navy,5,6,6,-,2,3,-,22,1,,,,2,26,10,2023,Japan,,
SASEBO,0,0,0,10,17,17,-,5,5,-,64,3,,,,6,76,10,2023,Japan,33.179915,129.71511
-,0,0,0,,0,,0,,0,,,,,,,,,10,2023,Japan,,
ZAMA C/C,22,883,Army,6,5,3,-,8,-,-,22,1,,,,1,25,10,2023,Japan,35.488587,139.40767
SHA CLUB,22,885,Army,-,-,-,-,-,-,-,0,-,,,,-,0,10,2023,Japan,,
ZAMA B/C,22,886,Army,3,-,2,-,3,-,-,8,1,,,,1,11,10,2023,Japan,35.488587,139.40767
ROAD HOUSE,22,1127,Marine Corps,3,-,3,-,-,-,-,6,1,,,,1,9,10,2023,Japan,,
SANNO HOTEL,22,2664,Navy,7,6,6,-,6,-,-,25,1,,,,2,29,10,2023,Japan,,
CORNER POCKET,22,3078,Navy,-,-,4,2,-,3,-,9,1,,,,1,12,10,2023,Japan,,
CLUB TRILOGY,22,3079,Navy,2,6,4,-,5,-,-,17,1,,,,2,21,10,2023,Japan,,
ZAMA G/C,22,3165,Army,2,4,-,1,-,-,-,7,1,,,,1,10,10,2023,Japan,35.488587,139.40767
ZAMA,0,0,0,23,21,22,3,22,3,-,116,7,,,,9,139,10,2023,Japan,35.488587,139.40767
-,0,0,0,,0,,0,,0,,,,,,,,,10,2023,Japan,,
HAVANA'S,26,967,Army,2,1,1,-,3,1,-,8,1,,,,1,11,10,2023,Japan,,
HASHMARKS,26,1105,Marine Corps,-,-,-,-,-,-,-,0,-,,,,-,0,10,2023,Japan,,
COURTNEY B/C,26,1107,Marine Corps,2,-,6,-,-,2,-,10,1,,,,2,14,10,2023,Japan,,
TAIYO G/C,26,1109,Marine Corps,9,9,9,-,7,2,-,36,1,,,,2,41,10,2023,Japan,,
BUTLER B/C,26,1111,Marine Corps,4,4,2,-,7,2,-,19,1,,,,2,23,10,2023,Japan,,
OCEAN BREEZE,26,1114,Marine Corps,12,18,10,-,23,3,-,66,1,,,,2,72,10,2023,Japan,,
SURFSIDE,26,1122,Marine Corps,6,-,-,-,4,2,-,12,1,,,,2,16,10,2023,Japan,,
PALMS,26,2238,Marine Corps,5,6,11,-,5,4,-,31,1,,,,2,36,10,2023,Japan,,
WEST PAC LODGE,26,2317,Marine Corps,-,-,-,-,-,-,-,0,-,,,,-,0,10,2023,Japan,,
BEACH HEAD,26,2394,Marine Corps,5,3,3,-,-,-,-,11,1,,,,2,15,10,2023,Japan,,
CROW'S NEST,26,2523,Navy,2,4,2,-,4,-,-,12,1,,,,2,16,10,2023,Japan,,
PORT CALL,26,2525,Navy,2,-,2,1,-,3,-,8,1,,,,2,12,10,2023,Japan,,
WHISPERS,26,3159,Marine Corps,6,4,8,-,-,-,-,18,1,,,,2,22,10,2023,Japan,,
HANSEN TLF,26,3169,Marine Corps,-,-,-,-,-,-,-,0,-,,,,-,0,10,2023,Japan,,
OKINAWA,0,0,0,55,49,54,1,53,19,-,268,,,,,,,10,2023,Japan,26.212401,127.68093
-,0,0,0,,0,,0,,0,,,,,,,,,10,2023,Japan,,
TORII PINES TLF,27,3164,Marine Corps,4,4,4,-,5,-,-,17,1,,,,2,21,10,2023,Japan,,
IWAKUNI CLUB,27,1137,Marine Corps,12,4,6,-,3,4,-,29,1,,,,2,34,10,2023,Japan,34.166562,132.21885
IWAKUNI,0,0,0,16,8,10,-,8,4,-,56,2,,,,4,65,10,2023,Japan,34.166562,132.21885
-,0,0,0,,0,,0,,0,,10,1,,,,2,14,10,2023,Japan,,
TERROR CLUB,17,3156,Navy,10,-,-,-,-,-,-,,,,,,,,10,2023,Japan,,
SINGAPORE,0,0,0,10,-,-,-,-,-,-,10,1,,,,2,14,10,2023,Japan,,
"DRAGON HILL
K-16 C/C","20
20","770
776","Army
Army","19
7","-
-","6
5","-
-","25
-","-
-",,"50
12","1
1",,,,"3
2","56
16",10,2023,Korea,,
SEOUL,0,0,0,26,-,11,-,25,-,,72,2,,,,5,82,10,2023,Korea,37.566535,126.97797
STATE'S GRILL,21,866,Army,6,-,2,-,-,2,,10,-,,,,-,11,10,2023,Korea,,
HILLTOP,21,867,Army,5,10,-,-,8,-,,23,-,,,,-,24,10,2023,Korea,,
PERIMETER PUB,21,869,Army,6,-,8,-,-,3,,17,-,,,,-,18,10,2023,Korea,,
WINDY CITY,21,870,Army,-,-,-,-,-,-,,0,-,,,,-,0,10,2023,Korea,,
EL GUERRERO,21,891,Army,7,-,4,-,3,2,,16,-,,,,-,17,10,2023,Korea,,
TURTLE COVE,21,2521,Navy,6,-,2,5,-,-,,13,-,,,,-,14,10,2023,Korea,,
DAEGU,0,0,0,30,10,16,5,11,7,,90,-,,,,-,95,10,2023,Korea,,
IMPACT ZONE,23,797,Army,5,5,2,-,4,-,,16,-,,,,-,17,10,2023,Korea,,
WARRIOR'S,23,798,Army,8,-,4,-,-,2,,14,-,,,,-,15,10,2023,Korea,,
CASEY B/C,23,819,Army,6,4,4,-,4,2,,20,-,,,,-,21,10,2023,Korea,,
CASEY LODGE,23,1940,Army,1,-,-,-,2,-,,3,-,,,,-,4,10,2023,Korea,,
UIJEONGBU,0,0,0,20,9,10,-,10,4,,63,-,,,,-,67,10,2023,Korea,,
FLIGHTLINE,24,3166,Army,-,-,-,-,-,-,,0,-,,,,-,0,10,2023,Korea,,
CAVE,24,3168,Army,14,6,8,-,6,-,,34,1,,,,3,41,10,2023,Korea,,
HUMPHREYS B/C,24,839,Army,2,4,4,-,4,-,,14,1,,,,2,18,10,2023,Korea,,
MORNING CALM,24,3158,Army,15,12,3,-,24,3,,57,1,,,,2,62,10,2023,Korea,,
PYEONGTAEK,0,0,0,31,22,15,-,34,3,,119,3,,,,7,121,10,2023,Korea,36.992108,127.11294
ARMSTRONG'S,2,194,Army,10,5,9,-,6,2,-,32,1,,,,2,37,11,2023,Europe,,
LCCC,2,195,Army,8,3,3,-,6,-,-,20,1,,,,2,25,11,2023,Europe,,
KAZABRA,2,196,Army,-,-,-,-,-,-,-,0,-,,,,-,0,11,2023,Europe,,
STRIKERS,2,218,Army,9,4,7,-,6,1,-,27,1,,,,2,31,11,2023,Europe,,
GOLD MINE,2,1038,Army,3,4,7,3,3,2,-,22,1,,,,2,27,11,2023,Europe,,
ROB JAVA CAFE,2,2887,Army,4,-,6,-,4,1,-,15,1,,,,2,19,11,2023,Europe,,
SEMBACH C/C,2,3072,Army,7,-,2,-,3,2,-,14,1,,,,2,19,11,2023,Europe,49.511398,7.864983
EDO_CARD_LAB,2,3170,Army,-,-,-,-,-,-,-,0,-,,,,-,0,11,2023,Europe,,
KAISERSLAUTERN,0,0,0,41,16,34,3,28,8,-,148,6,,,,12,176,11,2023,Europe,,
LIVORNO C/C,4,330,Army,3,3,6,-,4,-,-,16,1,,,,2,21,11,2023,Europe,43.548473,10.310567
ARENA B/C,4,2895,Army,2,5,6,-,8,4,-,25,1,,,,2,30,11,2023,Europe,,
DEL DIN C/C,4,3132,Army,-,-,5,-,7,-,-,12,1,,,,1,15,11,2023,Europe,,
VICENZA,0,0,0,5,8,17,-,19,4,-,65,3,,,,5,78,11,2023,Europe,45.545479,11.535421
EDELWEISS,10,2489,Army,2,3,5,-,5,-,-,15,-,,,,-,16,11,2023,Europe,,
GARMISCH,0,0,0,2,3,5,-,5,-,-,17,-,,,,-,18,11,2023,Europe,47.491695,11.095498
ACTION LANES,31,437,Army,6,-,2,-,5,-,-,13,-,,,,-,14,11,2023,Europe,,
STORCK BRK B/C,31,438,Army,6,-,3,1,4,2,-,16,1,,,,-,18,11,2023,Europe,,
ANSBACH,0,0,0,12,-,5,1,9,2,-,34,1,,,,-,37,11,2023,Europe,49.300425,10.571936
-,0,0,0,,0,,0,,0,,20,1,,,,2,25,11,2023,Europe,,
THE ANCHOR,39,2618,Navy,16,2,-,-,2,-,-,,,,,,,,11,2023,Europe,,
SOUDA BAY,0,0,0,16,2,-,-,2,-,-,20,1,,,,2,25,11,2023,Europe,,
-,0,0,0,,0,,0,,0,,,,,,,,,11,2023,Europe,,
SIG B/C,40,2595,Navy,4,2,5,2,4,-,-,17,1,,,,1,20,11,2023,Europe,,
JOX SPORTS BAR,40,2597,Navy,2,2,4,-,3,-,-,11,1,,,,1,14,11,2023,Europe,,
SIGONELLA,0,0,0,6,4,9,2,7,-,-,30,2,,,,2,36,11,2023,Europe,,
-,0,0,0,,0,,0,,0,,,,,,,,,11,2023,Europe,,
CAPO OLDE TOWN,42,2588,Navy,8,-,6,-,4,2,-,20,1,,,,2,24,11,2023,Europe,,
NAPLES B/C,42,2591,Navy,4,1,4,2,7,5,-,23,1,,,,2,27,11,2023,Europe,40.851775,14.268124
NAPLES,0,0,0,12,1,10,2,11,7,-,43,2,,,,4,51,11,2023,Europe,40.851775,14.268124
-,0,0,0,,0,,0,,0,,,,,,,,,11,2023,Europe,,
LA PLAZA,43,2600,Navy,10,4,6,-,-,4,-,24,1,,,,2,28,11,2023,Europe,,
PINZ,43,2601,Navy,2,-,5,-,5,1,-,13,1,,,,2,17,11,2023,Europe,,
ROTA FLEET CTR,43,2605,Navy,3,-,-,1,3,-,-,7,1,,,,1,10,11,2023,Europe,36.62629,-6.362981
NGIS ROTA,43,2890,Navy,7,-,2,-,-,1,-,10,1,,,,1,13,11,2023,Europe,36.62629,-6.362981
ROTA,0,0,0,22,4,13,1,8,6,-,60,4,,,,6,74,11,2023,Europe,36.62629,-6.362981
-,0,0,0,,0,,0,,0,,,,,,,,,11,2023,Europe,,
PATCH C/C,45,256,Army,13,3,6,-,11,3,-,36,1,,,,2,41,11,2023,Europe,,
KELLY C/C,45,280,Army,5,-,3,-,2,1,-,11,1,,,,1,14,11,2023,Europe,,
GALAXY B/C,45,298,Army,3,2,2,-,7,1,-,15,1,,,,1,18,11,2023,Europe,,
STUTTGART,0,0,0,21,5,11,-,20,5,-,80,3,,,,4,91,11,2023,Europe,48.775418,9.181759
-,0,0,0,,0,,0,,0,,,,,,,,,11,2023,Europe,,
GRAF E/C,46,413,Army,11,4,5,3,3,-,-,26,1,,,,1,30,11,2023,Europe,,
HOHENFELS B/C,46,415,Army,6,4,6,-,3,-,-,19,1,,,,1,24,11,2023,Europe,49.203278,11.849022
VILSECK B/C,46,417,Army,4,-,3,2,4,-,-,13,1,,,,1,17,11,2023,Europe,,
LANGENBRUCK,46,1858,Army,6,4,4,-,7,-,-,21,1,,,,1,25,11,2023,Europe,49.991466,8.663401
ALGIER R/C,46,3145,Army,-,-,-,-,-,-,-,0,-,,,,-,0,11,2023,Europe,,
VILSECK,0,0,0,27,12,18,5,17,-,-,95,4,,,,4,112,11,2023,Europe,,
-,0,0,0,,0,,0,,0,,,,,,,,,11,2023,Europe,,
THE VAULT,47,1669,Army,6,4,4,-,4,-,-,18,1,,,,-,20,11,2023,Europe,,
LIBERTY GAMES,47,1881,Army,7,-,7,-,8,-,-,22,-,,,,-,23,11,2023,Europe,,
ACE'S GAME RM,47,3108,Army,6,-,-,-,2,-,-,8,-,,,,-,9,11,2023,Europe,,
WIESBADEN,0,0,0,26,8,11,-,18,2,-,69,1,,,,-,74,11,2023,Europe,,
-,0,0,0,,0,,0,,0,,.,,,,,,,11,2023,Europe,,
-,0,0,0,,0,,0,,0,,,,,,,,,11,2023,Japan,,
YOKOSUKA B/C,18,3146,Navy,-,4,3,-,3,1,-,11,1,,,,2,15,11,2023,Japan,35.281341,139.6722
CLUB ALLIANCE,18,3147,Navy,2,5,-,-,10,2,-,19,1,,,,2,23,11,2023,Japan,,
CPO CLUB,18,3148,Navy,4,-,6,-,-,1,-,11,1,,,,2,15,11,2023,Japan,,
TAKEMIYA CLUB,18,3149,Navy,2,-,2,1,-,1,-,6,1,,,,2,10,11,2023,Japan,,
OFFICERS CLUB,18,3150,Navy,-,-,6,-,-,3,-,9,1,,,,2,13,11,2023,Japan,,
SEASIDE CLUB,18,3151,Navy,-,8,2,-,7,-,-,17,1,,,,2,21,11,2023,Japan,,
YOKOSUKA,0,0,0,8,17,19,1,20,8,-,91,6,,,,12,115,11,2023,Japan,35.281341,139.6722
-,0,0,0,,0,,0,,0,,,,,,,,,11,2023,Japan,,
HARBOR VIEW,19,3096,Navy,3,6,6,-,3,-,-,18,1,,,,2,22,11,2023,Japan,,
HARIO,19,3097,Navy,2,5,5,-,-,2,-,14,1,,,,2,18,11,2023,Japan,,
GALAXIES,19,3098,Navy,5,6,6,-,2,3,-,22,1,,,,2,26,11,2023,Japan,,
SASEBO,0,0,0,10,17,17,-,5,5,-,64,3,,,,6,76,11,2023,Japan,33.179915,129.71511
-,0,0,0,,0,,0,,0,,,,,,,,,11,2023,Japan,,
ZAMA C/C,22,883,Army,6,5,3,-,8,-,-,22,1,,,,1,25,11,2023,Japan,35.488587,139.40767
SHA CLUB,22,885,Army,-,-,-,-,-,-,-,0,-,,,,-,0,11,2023,Japan,,
ZAMA B/C,22,886,Army,2,-,3,-,3,-,-,8,1,,,,1,11,11,2023,Japan,35.488587,139.40767
ROAD HOUSE,22,1127,Marine Corps,3,-,3,-,-,-,-,6,1,,,,1,9,11,2023,Japan,,
SANNO HOTEL,22,2664,Navy,6,7,4,-,6,-,-,23,1,,,,2,27,11,2023,Japan,,
CORNER POCKET,22,3078,Navy,-,-,4,2,-,3,-,9,1,,,,1,12,11,2023,Japan,,
CLUB TRILOGY,22,3079,Navy,2,6,4,-,5,-,-,17,1,,,,2,21,11,2023,Japan,,
ZAMA G/C,22,3165,Army,2,4,2,1,-,-,-,9,1,,,,1,12,11,2023,Japan,35.488587,139.40767
ZAMA,0,0,0,21,22,23,3,22,3,-,116,7,,,,9,139,11,2023,Japan,35.488587,139.40767
-,0,0,0,,0,,0,,0,,,,,,,,,11,2023,Japan,,
HAVANA'S,26,967,Army,2,1,1,-,3,1,-,8,1,,,,1,11,11,2023,Japan,,
HASHMARKS,26,1105,Marine Corps,-,-,-,-,-,-,-,0,-,,,,-,0,11,2023,Japan,,
COURTNEY B/C,26,1107,Marine Corps,2,-,6,-,-,2,-,10,1,,,,2,14,11,2023,Japan,,
TAIYO G/C,26,1109,Marine Corps,9,9,9,-,7,2,-,36,1,,,,2,41,11,2023,Japan,,
BUTLER B/C,26,1111,Marine Corps,4,4,2,-,7,2,-,19,1,,,,2,23,11,2023,Japan,,
OCEAN BREEZE,26,1114,Marine Corps,12,18,10,-,23,3,-,66,1,,,,2,72,11,2023,Japan,,
SURFSIDE,26,1122,Marine Corps,6,-,-,-,4,2,-,12,1,,,,2,16,11,2023,Japan,,
PALMS,26,2238,Marine Corps,5,6,11,-,5,4,-,31,1,,,,2,36,11,2023,Japan,,
WEST PAC LODGE,26,2317,Marine Corps,-,-,-,-,-,-,-,0,-,,,,-,0,11,2023,Japan,,
BEACH HEAD,26,2394,Marine Corps,5,3,3,-,-,-,-,11,1,,,,2,15,11,2023,Japan,,
CROW'S NEST,26,2523,Navy,2,4,2,-,4,-,-,12,1,,,,2,16,11,2023,Japan,,
PORT CALL,26,2525,Navy,2,-,-,-,3,3,-,8,1,,,,2,12,11,2023,Japan,,
WHISPERS,26,3159,Marine Corps,6,4,8,-,-,-,-,18,1,,,,2,22,11,2023,Japan,,
HANSEN TLF,26,3169,Marine Corps,-,-,-,-,-,-,-,0,-,,,,-,0,11,2023,Japan,,
OKINAWA,0,0,0,55,49,52,-,56,19,-,268,,,,,,,11,2023,Japan,26.212401,127.68093
-,0,0,0,,0,,0,,0,,,,,,,,,11,2023,Japan,,
TORII PINES TLF,27,3164,Marine Corps,4,4,4,-,5,-,-,17,1,,,,2,21,11,2023,Japan,,
IWAKUNI CLUB,27,1137,Marine Corps,12,4,6,-,3,4,-,29,1,,,,2,34,11,2023,Japan,34.166562,132.21885
IWAKUNI,0,0,0,16,8,10,-,8,4,-,56,2,,,,4,65,11,2023,Japan,34.166562,132.21885
-,0,0,0,,0,,0,,0,,10,1,,,,2,14,11,2023,Japan,,
TERROR CLUB,17,3156,Navy,10,-,-,-,-,-,-,,,,,,,,11,2023,Japan,,
SINGAPORE,0,0,0,10,-,-,-,-,-,-,10,1,,,,2,14,11,2023,Japan,,
"DRAGON HILL
K-16 C/C","20
20","770
776","Army
Army","19
7","-
-","6
5","-
-","25
-","-
-",,"50
12",,,,,"3
2","56
16",11,2023,Korea,,
SEOUL,0,0,0,26,-,11,-,25,-,,72,,,,,5,82,11,2023,Korea,37.566535,126.97797
STATE'S GRILL,21,866,Army,6,-,2,-,-,2,,10,,,,,-,11,11,2023,Korea,,
HILLTOP,21,867,Army,5,10,-,-,8,-,,23,,,,,-,24,11,2023,Korea,,
PERIMETER PUB,21,869,Army,6,-,8,-,-,3,,17,,,,,-,18,11,2023,Korea,,
WINDY CITY,21,870,Army,-,-,-,-,-,-,,0,,,,,-,0,11,2023,Korea,,
EL GUERRERO,21,891,Army,8,-,4,-,3,2,,17,,,,,-,18,11,2023,Korea,,
TURTLE COVE,21,2521,Navy,6,-,2,5,-,-,,13,,,,,-,14,11,2023,Korea,,
DAEGU,0,0,0,31,10,16,5,11,7,,91,,,,,-,96,11,2023,Korea,,
IMPACT ZONE,23,797,Army,5,5,2,-,4,-,,16,,,,,-,17,11,2023,Korea,,
WARRIOR'S,23,798,Army,8,-,4,-,-,2,,14,,,,,-,15,11,2023,Korea,,
CASEY B/C,23,819,Army,6,4,4,-,4,2,,20,,,,,-,21,11,2023,Korea,,
CASEY LODGE,23,1940,Army,1,-,-,-,2,-,,3,,,,,-,4,11,2023,Korea,,
UIJEONGBU,0,0,0,20,9,10,-,10,4,,63,,,,,-,67,11,2023,Korea,,
FLIGHTLINE,24,3166,Army,-,-,-,-,-,-,,0,-,,,,-,0,11,2023,Korea,,
CAVE,24,3168,Army,14,9,8,-,6,-,,37,1,,,,2,42,11,2023,Korea,,
HUMPHREYS B/C,24,839,Army,2,4,4,-,4,-,,14,1,,,,2,18,11,2023,Korea,,
MORNING CALM,24,3158,Army,15,12,3,-,24,3,,57,1,,,,2,62,11,2023,Korea,,
PYEONGTAEK,0,0,0,31,25,15,-,34,3,,122,3,,,,6,122,11,2023,Korea,36.992108,127.11294
ARMSTRONG'S,2,194,Army,10,5,9,-,6,2,-,32,1,,,,2,37,12,2023,Europe,,
LCCC,2,195,Army,8,3,3,-,6,-,-,20,1,,,,2,25,12,2023,Europe,,
KAZABRA,2,196,Army,-,-,-,-,-,-,-,0,-,,,,-,0,12,2023,Europe,,
STRIKERS,2,218,Army,9,4,7,-,6,1,-,27,1,,,,2,31,12,2023,Europe,,
GOLD MINE,2,1038,Army,3,4,7,3,3,2,-,22,1,,,,2,27,12,2023,Europe,,
ROB JAVA CAFE,2,2887,Army,4,-,6,-,4,1,-,15,1,,,,2,19,12,2023,Europe,,
SEMBACH C/C,2,3072,Army,7,-,2,-,3,2,-,14,1,,,,2,19,12,2023,Europe,49.511398,7.864983
EDO_CARD_LAB,2,3170,Army,-,-,-,-,-,-,-,0,-,,,,-,0,12,2023,Europe,,
KAISERSLAUTERN,0,0,0,41,16,34,3,28,8,-,148,6,,,,12,176,12,2023,Europe,,
LIVORNO C/C,4,330,Army,3,3,6,-,4,-,-,16,1,,,,2,21,12,2023,Europe,43.548473,10.310567
ARENA B/C,4,2895,Army,2,5,6,-,8,4,-,25,1,,,,2,30,12,2023,Europe,,
DEL DIN C/C,4,3132,Army,-,-,5,-,7,-,-,12,1,,,,1,15,12,2023,Europe,,
VICENZA,0,0,0,5,8,17,-,19,4,-,65,3,,,,5,78,12,2023,Europe,45.545479,11.535421
EDELWEISS,10,2489,Army,2,3,5,-,5,-,-,15,-,,,,-,16,12,2023,Europe,,
GARMISCH,0,0,0,2,3,5,-,5,-,-,17,-,,,,-,18,12,2023,Europe,47.491695,11.095498
ACTION LANES,31,437,Army,6,-,2,-,5,-,-,13,-,,,,-,14,12,2023,Europe,,
STORCK BRK B/C,31,438,Army,4,-,3,1,2,2,-,12,1,,,,-,14,12,2023,Europe,,
ANSBACH,0,0,0,10,-,5,1,7,2,-,30,1,,,,-,33,12,2023,Europe,49.300425,10.571936
-,0,0,0,,0,,0,,0,,20,1,,,,2,25,12,2023,Europe,,
THE ANCHOR,39,2618,Navy,16,2,-,-,2,-,-,,,,,,,,12,2023,Europe,,
SOUDA BAY,0,0,0,16,2,-,-,2,-,-,20,1,,,,2,25,12,2023,Europe,,
-,0,0,0,,0,,0,,0,,,,,,,,,12,2023,Europe,,
SIG B/C,40,2595,Navy,4,2,5,2,4,-,-,17,1,,,,1,20,12,2023,Europe,,
JOX SPORTS BAR,40,2597,Navy,2,2,4,-,3,-,-,11,1,,,,1,14,12,2023,Europe,,
SIGONELLA,0,0,0,6,4,9,2,7,-,-,30,2,,,,2,36,12,2023,Europe,,
-,0,0,0,,0,,0,,0,,,,,,,,,12,2023,Europe,,
CAPO OLDE TOWN,42,2588,Navy,8,-,6,-,4,2,-,20,1,,,,2,24,12,2023,Europe,,
NAPLES B/C,42,2591,Navy,4,1,4,-,7,5,-,21,1,,,,2,25,12,2023,Europe,40.851775,14.268124
