,22-Oct,22-Nov,22-Dec,23-Jan,23-Feb,23-Mar,23-Apr,23-May,23-Jun,23-Jul,23-Aug,23-Sep
Total Korea,"1,716,365","1,701,766","1,519,719","2,217,452","1,867,216","1,897,553","2,254,692",0,0,0,0,0
Iwakuni USMC,,,,,,,,,,,,
Club Iwaku,"138,546","23,093","99,187","111,069","51,932","101,807","133,616",0,0,0,0,0
Torii Pines,"101,001","105,595","68,493","54,699","115,198","54,075","19,954",0,0,0,0,0
Camp Butler / Foster,,,,,,,,,,,,
Butler Bow,"118,984","66,368","90,940","72,688","32,242","45,747","85,715",0,0,0,0,0
Ocean Bre,"426,486","498,674","273,869","546,132","301,626","463,339","438,020",0,0,0,0,0
Taiyo Golf,"331,907","239,604","224,483","315,351","270,082","240,563","254,783",0,0,0,0,0
Whispers,"110,213","102,127","105,916","110,700","99,086","79,039","6,761",0,0,0,0,0
Camp Courtney,,,,,,,,,,,,
Courtney B,"46,368","26,708","22,855","11,765","42,365","9,848","15,729",0,0,0,0,0
Hashmarks,2,5,0,0,0,0,0,0,0,0,0,0
Camp Futenma,,,,,,,,,,,,
,23-Oct,23-Nov,23-Dec,24-Jan,24-Feb,24-Mar,24-Apr,24-May,24-Jun,24-Jul,24-Aug,24-Sep
,,,,,,,,,,,,
Camp Hans,0,13,0,0,0,0,0,0,0,0,0,0
Palms,"53,301","57,368","35,217","73,903","47,778","74,382","82,245",0,0,0,0,0
Camp Kinser,,,,,,,,,,,,
Surfside,"30,246","60,306","19,937","89,720","51,535","27,599","29,084",0,0,0,0,0
Camp Schwab,,,,,,,,,,,,
Beach Hea,"-2,234","36,192","18,859","5,472","15,834","16,007","9,070",0,0,0,0,0
Torii Station,,,,,,,,,,,,
Coral Cove,"6,125","9,877","9,977","3,337","5,915","2,309","2,869",0,0,0,0,0
Navy Japan,,,,,,,,,,,,
Crow's Nes,"36,720","86,923","44,999","34,704","26,128","39,826","22,713",0,0,0,0,0
Port Call,"9,061",-978,"-3,362","3,399","17,564","5,247","8,089",0,0,0,0,0
Camp Fuji,,,,,,,,,,,,
Road Hous,28,"4,871","4,693","2,576","1,537","-1,994","3,731",0,0,0,0,0
Camp Zama,,,,,,,,,,,,
SHA Club,9,-28,-68,78,-3,22,3,0,0,0,0,0
Zama Bowl,"10,312","2,816","35,691","56,607","28,030","54,923","27,967",0,0,0,0,0
Zama Com,"120,772","142,858","45,990","45,063","80,354","117,523","73,614",0,0,0,0,0
Zama Golf,"10,678","7,890","-21,545","36,186",-597,"1,836","11,753",0,0,0,0,0
Navy Sanno Hotel,,,,,,,,,,,,
Sanno Hot,"140,294","88,526","105,757","104,495","103,403","96,046","171,719",0,0,0,0,0
Corner Poc,"23,776","19,682","25,765","9,044","78,486","43,218","46,881",0,0,0,0,0
Club Trilog,"13,706","112,303","76,400","57,031","107,275","90,465","70,159",0,0,0,0,0
Sasebo,,,,,,,,,,,,
Harbor Vie,"78,175","53,556","60,445","54,294","55,522","15,103","42,817",0,0,0,0,0
Hario,"27,459","39,606","18,537","26,176","10,455",-89,"53,062",0,0,0,0,0
Galaxies,"215,872","125,382","32,535","141,151","98,673","36,955","167,438",0,0,0,0,0
Yokosuka,,,,,,,,,,,,
Yokosuka B,"86,096","174,169","65,581","79,837","129,287","112,633","89,976",0,0,0,0,0
Club Allian,"161,172","54,752","100,963","215,915","133,610","173,668","166,425",0,0,0,0,0
CPO Club,"45,580","28,124","60,665","52,046","29,350","30,219","50,392",0,0,0,0,0
Takemiya C,"1,834","5,022","12,100",-381,"3,457",621,"13,270",0,0,0,0,0
Officers Clu,"58,954","26,787","67,949","16,360","62,832","34,288","66,713",0,0,0,0,0
SeaSide Clu,"152,478","88,612","82,161","76,905","109,830","84,483","150,412",0,0,0,0,0
,,,,,,,,,,,,
Total Japan,"2,553,921","2,286,803","1,784,989","2,406,322","2,108,786","2,049,708","2,314,980",0,0,0,0,0
,,,,,,,,,,,,
Total Slot R,"4,270,286","3,988,569","3,304,708","4,623,774","3,976,002","3,947,261","4,569,672",0,0,0,0,0
Slot NAFI Reimbursement,,,,,,,,,,,,
Camp Humphreys,,,,,,,,,,,,
,23-Oct,23-Nov,23-Dec,24-Jan,24-Feb,24-Mar,24-Apr,24-May,24-Jun,24-Jul,24-Aug,24-Sep
,,,,,,,,,,,,
Terror Club,0,"2,212",498,"5,937","1,532","5,259",867,0,0,0,0,0
Flightline N,"60,234","58,401","57,135","62,891","90,502","65,726","80,728",0,0,0,0,0
Morning C,"146,991","144,546","139,112","163,058","113,516","161,046","172,719",0,0,0,0,0
Humphrey,"7,666","4,777","5,585","5,130","2,702","6,037","9,764",0,0,0,0,0
Seoul,,,,,,,,,,,,
K-16 Comm,"2,601","3,351","1,034","1,196","2,669","2,708","1,926",0,0,0,0,0
AFRC Dragon Hill Lodge,,,,,,,,,,,,
Dragon Hill,"71,855","54,084","65,461","84,074","55,769","99,528","46,353",0,0,0,0,0
Navy Seoul,,,,,,,,,,,,
Taegu,,,,,,,,,,,,
El Guerrero,"3,527","7,338","7,191","7,599","11,057","4,863","8,911",0,0,0,0,0
Evergreen,"3,523",326,0,"3,269","4,488","4,604","6,578",0,0,0,0,0
State's Gril,0,555,"1,849",279,325,"1,153","2,170",0,0,0,0,0
Perimeter,"6,408","6,763","7,875","6,433","8,384","8,431","5,906",0,0,0,0,0
Hilltop NAF,0,"4,334","13,879","23,682","24,805","20,192","25,216",0,0,0,0,0
Mountain,0,"4,618","1,085",0,540,191,0,0,0,0,0,0
Navy Pusan,,,,,,,,,,,,
Turtle Cove,"12,300","16,785","31,864","15,886","4,982","21,796",896,0,0,0,0,0
Casey / Hovey,,,,,,,,,,,,
Casey Bow,"5,724","6,734","10,214","7,212","8,613","1,524","6,932",0,0,0,0,0
Casey Lodg,"17,537","11,676","15,166","15,867","11,954","14,032","21,368",0,0,0,0,0
Gateway C,"15,944","13,494","14,103","16,736","22,169","11,631","15,206",0,0,0,0,0
Warrior's N,"4,238","3,794","7,490","5,869","5,562","5,590","3,529",0,0,0,0,0
Uijongbu Corridor,,,,,,,,,,,,
,,,,,,,,,,,,
Total Korea,"358,548","343,788","379,541","425,118","369,569","434,311","409,069",0,0,0,0,0
Iwakuni USMC,,,,,,,,,,,,
Club Iwaku,"92,580","23,306","97,408","65,707","48,083","80,583","102,025",0,0,0,0,0
Torii Pines,"74,203","75,243","60,495","42,979","87,348","48,043","54,163",0,0,0,0,0
Camp Butler / Foster,,,,,,,,,,,,
Butler Bow,"91,930","63,838","70,368","49,012","28,250","51,438","53,583",0,0,0,0,0
Ocean Bre,"312,440","398,483","268,787","383,267","285,331","370,749","320,873",0,0,0,0,0
Taiyo Golf,"241,002","197,623","223,746","205,441","220,146","208,547","203,347",0,0,0,0,0
Whispers N,"83,090","65,555","89,041","84,054","79,577","71,415","18,429",0,0,0,0,0
Camp Courtney,,,,,,,,,,,,
Courtney B,"26,203","18,372","24,168","16,139","21,485","10,561","9,169",0,0,0,0,0
Camp Futenma,,,,,,,,,,,,
Palms NAFI,"41,550","47,097","34,026","50,917","39,224","61,364","64,614",0,0,0,0,0
Camp Kinser,,,,,,,,,,,,
Surfside NA,"25,859","47,258","29,814","57,914","41,308","22,205","23,362",0,0,0,0,0
Camp Schwab,,,,,,,,,,,,
,23-Oct,23-Nov,23-Dec,24-Jan,24-Feb,24-Mar,24-Apr,24-May,24-Jun,24-Jul,24-Aug,24-Sep
,,,,,,,,,,,,
Beach Hea,"4,499","21,878","15,065","4,198","14,911","12,338","3,996",0,0,0,0,0
Torii Station,,,,,,,,,,,,
Coral Cave,801,"2,032","2,034",532,"1,243",461,539,0,0,0,0,0
Navy Japan,,,,,,,,,,,,
Crow's Nes,"36,070","36,082","41,714","19,308","21,202","44,545","36,342",0,0,0,0,0
Port Call N,"7,831",0,0,"4,669","8,879","3,441","11,367",0,0,0,0,0
Camp Fuji,,,,,,,,,,,,
Road Hous,0,"4,979","2,920","1,883","1,464",0,"1,053",0,0,0,0,0
Camp Zama,,,,,,,,,,,,
Zama Bowl,"2,109",478,"7,230","11,433","9,453","7,057","5,544",0,0,0,0,0
Zama Com,"24,064","26,415","13,025","5,181","16,231","25,384","20,853",0,0,0,0,0
Zama Golf,"2,413","1,303","2,943",0,0,280,"2,299",0,0,0,0,0
Navy Sanno Hotel,,,,,,,,,,,,
Sanno Hot,"107,988","78,714","82,585","77,793","82,606","81,874","133,054",0,0,0,0,0
Corner Poc,"19,661","15,769","26,152","31,845","32,664","34,602","36,743",0,0,0,0,0
Club Trilog,"30,013","68,948","79,244","45,711","66,472","72,792","61,621",0,0,0,0,0
Sasebo,,,,,,,,,,,,
